јули84,септември84,јануари85,април85,мај05,јуни05,јули05,август05,септември05,октомври05,ноември05,декември05,јануари06
P1-0m,23.8,20,3,7.7,16,22.5,24,22.5,21,16,12,6.8,4.8
P2-0m,23,21,3,7.6,17,22,25,22,21,16.3,12,6.8,4.8
P2-5m,12.3,18,3,7.6,10,12,16,14,14,12,12,6.8,4.8
P2-10m,12.3,11,3,7.3,9,9,10.5,9.5,9,8.5,8.5,6.8,4.8
P2-15m,NA,NA,NA,NA,8,8,9,8,8,7.5,7.5,6.8,4.8
P2-20m,6.5,10,3,7.3,6,8,8,8,7,7,7,6.8,4.8
P3-0m,20.5,19,3,7.6,18,20.5,25,22,20,16.3,12,6.8,4.8
